,title,year,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length,infobox
0,The Extreme Adventures of Super Dave,2000,0 Reviews,,Fewer than 50 Ratings,20,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Comedy, 1h 31m,"{'Directed by': ['Peter MacDonald', '', ''], 'Written by': ['Lorne Cameron', 'Bob Einstein', 'David Hoselton', 'Don Lake', '', ''], 'Produced by': ['Lorne Cameron', 'David Hoselton', 'Mike Marcus', 'Richard H. Prince', 'Larry Brezner', 'David Steinberg', '', ''], 'Starring': ['Bob Einstein', '', ''], 'Cinematography': ['Bernd Heinl', '', ''], 'Edited by': ['Mike Murphy', '', ''], 'Music by': ['Flaviano Gorgini ', ' Andrew Gross', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': ['MGM Home Entertainment', '', ''], 'Release date': ['January 11, 2000', '', ''], 'Running time': ['90 minutes', '', ''], 'Language': ['English', '', ''], 'Budget': ['$15,000,000', '', '']}"
1,Next Friday,2000,66 Reviews,21,"100,000+ Ratings",76,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Comedy, 1h 39m,"{'Directed by': ['Steve Carr', '', ''], 'Written by': ['Ice Cube', '', ''], 'Based on': ['Characters', 'by Ice Cube', 'DJ Pooh', '', ''], 'Produced by': ['Ice Cube', '', ''], 'Starring': ['Ice Cube', 'Mike Epps', 'John Witherspoon', 'Tamala Jones', 'Tommy ""Tiny"" Lister Jr.', '\n \n', ''], 'Cinematography': ['Christopher J. Baffa', '', ''], 'Edited by': ['Elena Maganini', '', ''], 'Music by': ['Terence Blanchard', '', ''], 'Production company': ['', 'Cube Vision'], 'Distributed by': ['New Line Cinema', '', ''], 'Release date': ['January\xa012,\xa02000', '\n \n', ''], 'Running time': ['98 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$11 million', '', ''], 'Box office': ['$59.8 million', '', '']}"
2,My Dog Skip,2000,82 Reviews,73,"25,000+ Ratings",67,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Kids & family/Drama, 1h 35m,"{'Directed by': ['Jay Russell', '', ''], 'Screenplay by': ['Gail Gilchriest', '', ''], 'Story by': ['Willie Morris', '', ''], 'Based on': ['by ', 'Willie Morris', '', ''], 'Produced by': ['Mark Johnson', 'John Lee Hancock', 'Broderick Johnson', 'Andrew Kosove', '', ''], 'Starring': ['Frankie Muniz', 'Diane Lane', 'Luke Wilson', 'Kevin Bacon', '\n \n', ''], 'Cinematography': ['James L. Carter', '', ''], 'Edited by': ['Harvey Rosenstock', 'Gary Winter', '', ''], 'Music by': ['William Ross', '', ''], 'Production companies': ['MDS Productions LLC', 'Alcon Entertainment'], 'Distributed by': ['Warner Bros.', '', ''], 'Release dates': ['January\xa014,\xa02000', ' (Limited)', 'March\xa03,\xa02000', ' (Wide release)', '\n \n', ''], 'Running time': ['95 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$4.5 million', '', ''], 'Box office': ['$35.5 million', '', '']}"
3,Play It to the Bone,2000,79 Reviews,11,"10,000+ Ratings",25,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1999, Comedy/Drama, 2h 4m,"{'Directed by': ['Ron Shelton', '', ''], 'Written by': ['Ron Shelton', '', ''], 'Produced by': ['Stephen Chin', 'Kellie Davis', 'David V. Lester', '', ''], 'Starring': ['Woody Harrelson', 'Antonio Banderas', 'Lolita Davidovich', 'Tom Sizemore', 'Lucy Liu', 'Robert Wagner', '\n \n', ''], 'Cinematography': ['Mark Vargo', '', ''], 'Edited by': ['Patrick Flannery', 'Paul Seydor', '', ''], 'Music by': ['Alex Wurman', '', ''], 'Production company': ['', 'Touchstone Pictures'], 'Distributed by': ['Buena Vista Pictures Distribution', '', ''], 'Release dates': ['December\xa025,\xa01999', ' (Limited)', 'January\xa014,\xa02000', ' (United States)', '\n \n', ''], 'Running time': ['124 minutes', '', ''], 'Country': ['United States', '', ''], 'Budget': ['$24 million', '', ''], 'Box office': ['$8.4 million', '', '']}"
4,Supernova,2000,1 Reviews,,500+ Ratings,9,"[('amazon-prime-video-us', 'Rent/buy')]",2009, Sci-fi/Action, 1h 30m,"{'Directed by': [' ', 'Walter Hill', 'Jack Sholder', 'Francis Ford Coppola', '\n \n', ''], 'Screenplay by': ['David C. Wilson', '', ''], 'Story by': ['William Malone', 'Daniel Chuba', '', ''], 'Produced by': ['Ash R. Shah', 'Daniel Chuba', 'Jamie Dixon', '', ''], 'Starring': ['James Spader', 'Angela Bassett', 'Robert Forster', 'Lou Diamond Phillips', 'Peter Facinelli', 'Robin Tunney', 'Wilson Cruz', '\n \n', ''], 'Cinematography': ['Lloyd Ahern II', '', ''], 'Edited by': ['Michael Schweiter', 'Melissa Kent', 'Francis Ford Coppola', 'Freeman A. Davies', '', ''], 'Music by': ['David C. Williams', '', ''], 'Production companies': ['Screenland Pictures Hammerhead Productions', 'Metro-Goldwyn-Mayer'], 'Distributed by': ['(United States)', '(international)', 'MGM Distribution Co.', 'United International Pictures', '', ''], 'Release date': ['January\xa014,\xa02000', '\n \n', ''], 'Running time': ['90 minutes', '', ''], 'Countries': ['United States', 'Switzerland', '', ''], 'Language': ['English', '', ''], 'Budget': ['$60–90 million', '', ''], 'Box office': ['$14.8 million', '', '']}"
5,Down to You,2000,61 Reviews,3,"50,000+ Ratings",49,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Romance/Comedy, 1h 32m,"{'Directed by': ['Kris Isacsson', '', ''], 'Written by': ['Kris Isacsson', '', ''], 'Produced by': ['Jason Kliot', 'Joana Vicente', '\n \n', ''], 'Starring': ['Freddie Prinze, Jr.', 'Julia Stiles', 'Selma Blair', 'Shawn Hatosy', 'Zak Orth', 'Ashton Kutcher', 'Rosario Dawson', 'Lucie Arnaz', 'Henry Winkler', '\n \n', ''], 'Cinematography': ['Robert D. Yeoman', '', ''], 'Edited by': ['Stephen A. Rotter', '', ''], 'Music by': ['Edmund Choi', '', ''], 'Distributed by': ['Miramax Films', '', ''], 'Release date': ['January\xa021,\xa02000', '\n \n', ''], 'Running time': ['92 minutes', '', ''], 'Country': ['United States', '', ''], 'Languages': ['English', ' French', '', ''], 'Budget': ['$35 million', '', ''], 'Box office': ['$24.4 million', '', ''], 'Released': ['January\xa018,\xa02000', '', '']}"
6,Isn't She Great,2000,61 Reviews,25,"2,500+ Ratings",38,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Biography, 1h 33m,"{'Directed by': ['Andrew Bergman', '', ''], 'Written by': ['Paul Rudnick', '', ''], 'Based on': ['""Wasn\'t She Great?""', 'by ', 'Michael Korda', '', ''], 'Produced by': ['Mike Lobell', '', ''], 'Starring': ['Bette Midler', 'Nathan Lane', 'Stockard Channing', 'David Hyde Pierce', 'Amanda Peet', 'John Cleese', '\n \n', ''], 'Cinematography': ['Karl Walter Lindenlaub', '', ''], 'Edited by': ['Barry Malkin', '', ''], 'Music by': ['Burt Bacharach', '', ''], 'Production companies': ['', '', 'Lobell-Bergman Productions', 'BBC', 'Marubeni', 'Mutual Film Company', 'Tele-Munchen', 'Toho', 'Universal Pictures'], 'Distributed by': ['Universal Pictures', '', ''], 'Release date': ['January\xa028,\xa02000', '', ''], 'Running time': ['95 minutes', '', ''], 'Countries': ['United States', 'United Kingdom', 'Germany', 'Japan', '\n \n', ''], 'Language': ['English', '', ''], 'Budget': ['$44 million', '', ''], 'Box office': ['$3 million', '', '']}"
7,Simpatico,2000,61 Reviews,25,"1,000+ Ratings",14,"[('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1999, Comedy/Drama, 1h 46m,"{'Directed by': ['Matthew Warchus', '', ''], 'Screenplay by': ['Matthew Warchus', 'David Nicholls', '', ''], 'Based on': ['by ', 'Sam Shepard', '', ''], 'Produced by': ['Jean-François Fonlupt', 'Dan Lupovitz', 'Timm Oberwelland', '', ''], 'Starring': ['Nick Nolte', 'Jeff Bridges', 'Sharon Stone', 'Catherine Keener', 'Albert Finney', 'Liam Waite', '', ''], 'Cinematography': ['Laurent Bassett', 'John Toll', '', ''], 'Edited by': ['Seth Flaum', 'Pasquale Buba', '', ''], 'Music by': ['Stewart Copeland', '', ''], 'Distributed by': ['Fine Line Features', '', ''], 'Release dates': ['September\xa015,\xa01999', ' (Toronto International Film Festival)', 'January\xa028,\xa02000', '\n \n', ''], 'Running time': ['106 minutes', '', ''], 'Countries': ['United Kingdom', 'France', 'United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$10 million', '', ''], 'Box office': ['$1.3 million', '', '']}"
8,Cabin by the Lake,2000,3 Reviews,,500+ Ratings,62,,2000, Mystery & thriller, 1h 37m,"{'Genre': ['Horror', 'Thriller', '', ''], 'Written by': ['David Stephens', '', ''], 'Directed by': ['Po-Chih Leong', '', ''], 'Starring': ['Judd Nelson', 'Hedy Burress', 'Michael Weatherly', '', ''], 'Music by': ['Daniel Licht', '', ''], 'Country of origin': ['United States', '', ''], 'Original language': ['English', '', ''], 'Executive producers': ['Neal H. Moritz', 'Heather Lieberman', '', ''], 'Producers': [' (associate producer)', 'John V. Stuckmeyer', 'Judith Craig Marlin', '', ''], 'Production location': ['Vancouver', '', ''], 'Cinematography': ['Philip Linzey', '', ''], 'Editor': ['Darren Kloomok', '', ''], 'Running time': ['91 minutes', '', ''], 'Production companies': ['Foxtail Productions Inc.', 'Great Falls Productions', 'Original Film', '', ''], 'Distributor': ['USA Network', '', ''], 'Picture format': ['Color', '', ''], 'Original release': ['February\xa01,\xa02000', '\n \n', '']}"
9,Boiler Room,2000,103 Reviews,66,"25,000+ Ratings",78,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Drama, 2h 0m,"{'Directed by': ['Ben Younger', '', ''], 'Written by': ['Ben Younger', '', ''], 'Produced by': ['Jennifer Todd', 'Suzanne Todd', '', ''], 'Starring': ['Giovanni Ribisi', 'Vin Diesel', 'Nia Long', 'Nicky Katt', 'Scott Caan', 'Ben Affleck', '\n \n', ''], 'Cinematography': ['Enrique Chediak', '', ''], 'Edited by': ['Chris Peppe', '', ''], 'Music by': ['The Angel', '', ''], 'Production company': ['Team Todd', ''], 'Distributed by': ['New Line Cinema', '', ''], 'Release dates': [' (', ')', ' (United States)', 'Sundance', 'January\xa028,\xa02000', 'February\xa018,\xa02000', '\n \n \n \n', ''], 'Running time': ['120 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$7 million', '', ''], 'Box office': ['$28 million', '', '']}"
