title,year,infobox,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length
The Road,2015,"{'Directed by': ['Rana Salem', '', ''], 'Starring': ['Rana Salem', 'Guy Chartouni', '', ''], 'Release date': ['June\xa022,\xa02015', ' (Moscow International Film Festival)', '\n \n', ''], 'Country': ['Lebanon', '', ''], 'Language': ['Arabic', '', '']}",0 Reviews,,0 Ratings,,"[('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2015, Documentary, 1h 30m
Empire of Lust,2015,"{'Directed by': ['Ahn Sang-hoon', '', ''], 'Written by': ['Kim Se-hee', '', ''], 'Produced by': ['Kim Min-gi ', ' Bae Won-gyu', '', ''], 'Starring': [' ', ' ', ' ', ' ', ' ', ' ', 'Shin Ha-kyun', 'Jang Hyuk', 'Kang Han-na', 'Kang Ha-neul', '', ''], 'Cinematography': ['Son Won-ho ', ' Ju Seong-rim ', ' Yu Eok', '', ''], 'Edited by': ['Shin Min-kyung', '', ''], 'Music by': ['Park Ki-heon', '', ''], 'Production companies': ['Fineworks   Keymaker', ''], 'Distributed by': ['CJ Entertainment', '', ''], 'Release date': ['March\xa05,\xa02015', '\n \n', ''], 'Running time': ['113 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Language': ['Korean', '', ''], 'Budget': ['₩5.4 billion', '', ''], 'Box office': ['₩3.7 billion', '', '']}",0 Reviews,,Fewer than 50 Ratings,,"[('amazon-prime-video-us', 'Rent/buy')]",2015, Drama/Action, 1h 50m
Circle,2015,"{'Directed by': ['Aaron Hann', 'Mario Miscione', '\n \n', ''], 'Written by': ['Aaron Hann', 'Mario Miscione', '\n \n', ''], 'Produced by': ['Justin Bursch', 'Scott Einbinder', 'Tim Nardelli', 'Brent Stiefel', 'Michael Nardelli', '\n \n', ''], 'Starring': ['Lawrence Kao', 'Allegra Masters', 'Michael Nardelli', 'Carter Jenkins', 'Julie Benz', '\n \n', ''], 'Cinematography': ['Zoran Popovic', '', ''], 'Edited by': ['Tom Campbell', '', ''], 'Music by': ['Justin Marshall Elias', '', ''], 'Production companies': ['', '', 'Taggart Productions', 'Votiv Films'], 'Distributed by': ['FilmBuff', '', ''], 'Release date': ['May\xa028,\xa02015', ' (', ')', 'SIFF', '\n \n', ''], 'Running time': ['87 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}",7 Reviews,57,"1,000+ Ratings",43,"[('netflix', 'Subscription')]",2015, Drama/Horror, 1h 27m
Lost in Hong Kong,2015,"{'': ['', ''], 'Directed by': ['Xu Zheng', '', ''], 'Written by': ['Xu Zheng', 'Shu Huan', 'Su Liang', 'Xing Aina', 'Zhao Yingjun', '', ''], 'Produced by': ['Xu Zheng', 'Chan Chi-leung', '', ''], 'Starring': ['Xu Zheng', 'Zhao Wei', ""Bao Bei'er"", 'Du Juan', '', ''], 'Cinematography': ['Song Xiaofei', '', ''], 'Edited by': ['Tu Yiran', '', ''], 'Music by': ['Peng Fei', '', ''], 'Production companies': ['', '', 'Luck Road Culture Communication', 'Pulin Production', 'Beijing Enlight Pictures'], 'Release date': ['September\xa025,\xa02015', '\n \n', ''], 'Running time': ['114 minutes', '', ''], 'Country': ['China', '', ''], 'Language': ['Mandarin', '', ''], 'Budget': ['', ''], 'Box office': ['', '']}",5 Reviews,60,500+ Ratings,49,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2015, Comedy/Adventure, 1h 54m
Chronicles of the Ghostly Tribe,2015,"{'': ['Jiǔcéng Yāotǎ', '', ''], 'Directed by': ['Lu Chuan', '', ''], 'Written by': ['Lu Chuan', 'Zhang Muye', 'Bobby Roth', 'Nick Roth', '', ''], 'Based on': ['by Zhang Muye', '', ''], 'Starring': [' Daniel Feng', 'Mark Chao', 'Yao Chen', 'Rhydian Vaughan', 'Li Chen', 'Tiffany Tang', '', ''], 'Cinematography': ['Cao Yu', '', ''], 'Music by': ['Jesper Kyd', '', ''], 'Production company': ['', 'China Film Group Corporation'], 'Distributed by': ['LeTV', '', ''], 'Release date': ['30\xa0September\xa02015', '\n \n', ''], 'Running time': ['115 minutes', '', ''], 'Country': ['China', '', ''], 'Language': ['Mandarin', '', ''], 'Box office': ['US$106 million', '', '']}",0 Reviews,,0 Ratings,,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2015, Adventure/Fantasy, 1h 58m
Blind Spot,2015,"{'Directed by': ['Danny Pang', '', ''], 'Starring': ['Wang Jingchun', 'Marc Ma', 'Wu Xin', 'Pan Yueming', 'Monica Mok', 'Zhu Yuchen', 'Timmy Hung', 'Danny Chan Kwok-kwan', '', ''], 'Production companies': ['YiMa Shidai Media (Beijing) Beijing Shengtang Times Media Shandong Jiabo Media Yangzhou Fuhai Guolong Entertainment (Limited Partnership) 京兆鸿（北京）投资管理有限公司  Video Guangzhou Pinjing Film & Television Production Erling Yier (Beijing) Media', 'Tencent'], 'Distributed by': ['Ningbo Fenghai Media', '', ''], 'Running time': ['92 minutes', '', ''], 'Country': ['China', '', ''], 'Language': ['Mandarin', '', ''], 'Box office': ['', '']}",0 Reviews,,0 Ratings,,,2014, Documentary, 50m
Goodbye Mr. Loser,2015,"{'': ['Xià Luò Tè Fánnǎo', '', ''], 'Directed by': ['Yan Fei ', ' Peng Damo', '', ''], 'Starring': ['Ma Li', 'Ai Lun', 'Tian Yu', 'Song Yang', 'Chang Yuan', 'Li Ping', 'Shen Teng', 'Wang Zhi', 'Yin Zheng', '', ''], 'Production companies': ['Happy Mahua Pictures New Classics Pictures  Video', 'Tencent Wanda Media'], 'Distributed by': ['Wuzhou Film Distribution', 'New Classic Media Corporation', '', ''], 'Release date': ['September\xa030,\xa02015', '\n \n', ''], 'Running time': ['104 minutes', '', ''], 'Country': ['China', '', ''], 'Language': ['Mandarin', '', ''], 'Box office': ['US$228.5 million', '', '']}",1 Reviews,,100+ Ratings,78,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2015, Comedy, 1h 44m
Saving Mr. Wu,2015,"{'': ['', ''], 'Directed by': ['Ding Sheng', '', ''], 'Screenplay by': ['Ding Sheng', '', ''], 'Produced by': [""Xiao Chen'an"", 'Du Yang', 'Xiong Xiaolan', 'Preston Lee', '', ''], 'Starring': ['Wu Ruofu', 'Andy Lau', 'Liu Ye', 'Wang Qianyuan', '', ''], 'Cinematography': ['Ding Yu', '', ''], 'Edited by': ['Ding Sheng', '', ''], 'Music by': ['Lao Zai', '', ''], 'Production companies': ['Beijing Going Zoom Media Shanghai New Media Group Heyi Pictures Beijing Motianlun Media', ''], 'Distributed by': ['Golden Network Asia ', '', ''], 'Release dates': ['26\xa0September\xa02015', ' (', ')', '30\xa0September\xa02015', ' (China)', 'SRIFF', '\n \n', ''], 'Running time': ['106 minutes', '', ''], 'Country': ['China', '', ''], 'Language': ['Mandarin', '', ''], 'Box office': ['US$31.21 million', '', '']}",10 Reviews,100,100+ Ratings,67,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2015, Crime/Drama, 1h 45m
River Road,2015,"{'Directed by': ['Li Ruijun', '', ''], 'Screenplay by': ['Li Ruijun', '', ''], 'Produced by': ['Yang Cheng ', ' Geng Xiaonan ', ' Li Ruijun', '', ''], 'Starring': ['Tang Long ', ' Guo Songtao', '', ''], 'Cinematography': ['Liu Yonghong', '', ''], 'Edited by': ['Li Ruijun', '', ''], 'Music by': ['Peyman Yazdanian', '', ''], 'Release dates': ['October\xa026,\xa02014', ' (', ')', 'October\xa023,\xa02015', 'Tokyo International Film Festival', '\n \n', ''], 'Running time': ['103 minutes', '', ''], 'Country': ['China', '', ''], 'Languages': ['Turkic ', ' Mandarin', '', '']}",0 Reviews,,0 Ratings,,,2014, Drama, 1h 43m
Mountains May Depart,2015,"{'': ['Shānhé Gùrén', '', ''], 'Literally': ['', ''], 'Directed by': ['Jia Zhangke', '', ''], 'Written by': ['Jia Zhangke', '', ''], 'Produced by': ['Ren Zhonglun ', ' Nathanaël Karmitz ', ' Liu Shiyu ', ' Shozo Ichiyama', '', ''], 'Starring': [' ', ' ', ' ', ' Liang Jingdong ', ' ', 'Zhao Tao', 'Zhang Yi', 'Dong Zijian', '', ''], 'Cinematography': ['Yu Lik Wai', '', ''], 'Edited by': ['Matthieu Laclau', '', ''], 'Music by': ['Yoshihiro Hanno', '', ''], 'Production companies': ['Xstream Pictures Shanghai Film Group MK2', ''], 'Distributed by': ['Sihai Distribution Association (China)', 'Tianjin Maoyan Media (China)', 'Ad Vitam (France)', '', ''], 'Release dates': ['20\xa0May\xa02015', ' (', ')', '30\xa0October\xa02015', ' (China)', '23\xa0December\xa02015', ' (France)', '23\xa0April\xa02016', ' (Japan)', 'Cannes', '\n \n', ''], 'Running time': ['131 minutes', '', ''], 'Countries': ['China', 'France', 'Japan', '', ''], 'Languages': [', Mandarin', 'Jin Chinese', '', ''], 'Box office': [' (China)', ' (United States)', '', '']}",84 Reviews,90,500+ Ratings,69,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2015, Drama, 2h 12m
