link,year
/wiki/47_morto_che_parla,1950
/wiki/711_Ocean_Drive,1950
/wiki/Abbott_and_Costello_in_the_Foreign_Legion,1950
/wiki/The_Admiral_Was_a_Lady,1950
/wiki/All_About_Eve,1950
/wiki/Ambush_(1950_film),1950
/wiki/Annie_Get_Your_Gun_(film),1950
/wiki/Armored_Car_Robbery,1950
/wiki/The_Asphalt_Jungle,1950
/wiki/The_Astonished_Heart_(film),1950
/wiki/At_War_with_the_Army,1950
/wiki/Babul_(1950_film),1950
/wiki/Backfire_(1950_film),1950
/wiki/The_Bandit_Queen_(1950_film),1950
/wiki/The_Baron_of_Arizona,1950
/wiki/Beauty_and_the_Devil,1950
/wiki/Beqasoor,1950
/wiki/The_Big_Lift,1950
/wiki/Bitter_Springs_(film),1950
/wiki/The_Black_Forest_Girl_(1950_film),1950
/wiki/The_Black_Rose,1950
/wiki/The_Blue_Lamp,1950
/wiki/Born_to_Be_Bad_(1950_film),1950
/wiki/Born_Yesterday_(1950_film),1950
/wiki/The_Breaking_Point_(1950_film),1950
/wiki/Bright_Leaf,1950
/wiki/Broken_Arrow_(1950_film),1950
/wiki/Caf%C3%A9_Paradis,1950
/wiki/Caged_(1950_film),1950
/wiki/Cai%C3%A7ara_(film),1950
"/wiki/Captain_Carey,_U.S.A.",1950
/wiki/Captain_China,1950
/wiki/Champagne_for_Caesar,1950
/wiki/Cheaper_by_the_Dozen_(1950_film),1950
/wiki/Cinderella_(1950_film),1950
/wiki/Comanche_Territory_(1950_film),1950
/wiki/Convicted_(1950_film),1950
/wiki/Crisis_(1950_film),1950
/wiki/Cyrano_de_Bergerac_(1950_film),1950
/wiki/D.O.A._(1950_film),1950
/wiki/Dallas_(film),1950
/wiki/The_Damned_Don%27t_Cry,1950
/wiki/Dance_Hall_(1950_film),1950
/wiki/Darah_dan_Doa,1950
/wiki/Dark_City_(1950_film),1950
/wiki/The_Daughter_of_Rosie_O%27Grady,1950
/wiki/D%C3%B8den_er_et_kj%C3%A6rtegn,1950
/wiki/Deported_(film),1950
/wiki/Destination_Moon_(film),1950
/wiki/The_Devil_Is_a_Woman_(1950_film),1950
/wiki/Devil%27s_Doorway,1950
/wiki/Dial_1119,1950
/wiki/Dieu_a_besoin_des_hommes,1950
/wiki/The_Eagle_and_the_Hawk_(1950_film),1950
/wiki/Edge_of_Doom,1950
/wiki/Les_Enfants_Terribles_(film),1950
/wiki/Escape_at_Dawn,1950
/wiki/The_Fall_of_Berlin_(film),1950
/wiki/Fancy_Pants_(film),1950
/wiki/Father_Is_a_Bachelor,1950
/wiki/Father_of_the_Bride_(1950_film),1950
/wiki/The_File_on_Thelma_Jordon,1950
/wiki/The_Fireball,1950
/wiki/The_Flame_and_the_Arrow,1950
/wiki/The_Flowers_of_St._Francis,1950
/wiki/For_Heaven%27s_Sake_(1950_film),1950
/wiki/Frenchie_(film),1950
/wiki/The_Fuller_Brush_Girl,1950
/wiki/The_Furies_(1950_film),1950
/wiki/Gabriela_(1950_film),1950
/wiki/Gerald_McBoing-Boing,1950
/wiki/The_Glass_Menagerie_(1950_film),1950
/wiki/Gone_to_Earth_(film),1950
/wiki/Guilty_of_Treason,1950
/wiki/Gun_Crazy,1950
/wiki/The_Gunfighter_(film),1950
/wiki/Gunman_in_the_Streets,1950
/wiki/The_Happiest_Days_of_Your_Life_(film),1950
/wiki/Harriet_Craig,1950
/wiki/Harvey_(1950_film),1950
/wiki/The_High_and_the_Mighty_(film),1950
/wiki/Highly_Dangerous,1950
/wiki/Highway_301_(film),1950
/wiki/The_Hollywood_Ten,1950
/wiki/House_by_the_River,1950
/wiki/Hunt_the_Man_Down,1950
/wiki/The_Iroquois_Trail,1950
/wiki/I_Was_a_Shoplifter,1950
/wiki/I%27ll_Get_By_(film),1950
/wiki/In_a_Lonely_Place,1950
/wiki/The_Jackie_Robinson_Story,1950
/wiki/Jogan_(1950_film),1950
/wiki/Johnny_One-Eye,1950
/wiki/Julius_Caesar_(1950_film),1950
/wiki/Justice_is_Done,1950
/wiki/Key_to_the_City_(film),1950
/wiki/The_Kid_(1950_film),1950
/wiki/Kill_the_Umpire,1950
/wiki/The_Killer_That_Stalked_New_York,1950
/wiki/Kim_(1950_film),1950
/wiki/King_Solomon%27s_Mines_(1950_film),1950
/wiki/Kiss_Tomorrow_Goodbye_(film),1950
/wiki/A_Lady_Without_Passport,1950
/wiki/Last_Holiday_(1950_film),1950
/wiki/The_Lawless,1950
/wiki/Let%27s_Dance_(1950_film),1950
/wiki/Jeevitham_(1950_film),1950
/wiki/A_Life_of_Her_Own,1950
