title,year,infobox,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length
711 Ocean Drive,1950,"{'Directed by': ['Joseph M. Newman', '', ''], 'Written by': ['Richard English', 'Francis Swann', '', ''], 'Produced by': ['Frank N. Seltzer', '', ''], 'Starring': [""Edmond O'Brien"", 'Joanne Dru', 'Otto Kruger', '', ''], 'Cinematography': ['Franz Planer', '', ''], 'Edited by': ['Bert Jordan', '', ''], 'Music by': ['Sol Kaplan', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['Frank Seltzer Productions', ''], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['July\xa01,\xa01950', ' (United States)', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$300,000', '', ''], 'Box office': ['$1,550,000', '', '']}",3 Reviews,,100+ Ratings,61,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1950, Crime/Drama, 1h 42m
Abbott and Costello in the Foreign Legion,1950,"{'Directed by': ['Charles Lamont', '', ''], 'Written by': ['John Grant', 'Martin Ragaway', 'Leonard Stern', '', ''], 'Produced by': ['Robert Arthur', '', ''], 'Starring': ['Bud Abbott', 'Lou Costello', 'Patricia Medina', 'Walter Slezak', '', ''], 'Narrated by': ['Jeff Chandler', '', ''], 'Cinematography': ['George Robinson', '', ''], 'Edited by': ['Frank Gross', '', ''], 'Production company': ['', 'Universal-International'], 'Distributed by': ['Universal-International', '', ''], 'Release date': ['July\xa024,\xa01950', '\n \n', ''], 'Running time': ['80 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$679,687', '', ''], 'Box office': ['$1,250,000', '', '']}",3 Reviews,,500+ Ratings,59,,1950, Comedy, 1h 20m
Ambush,1950,"{'Directed by': ['Sam Wood', '', ''], 'Screenplay by': ['Marguerite Roberts', '', ''], 'Based on': ['1948 story in ', 'by ', 'Luke Short', '', ''], 'Produced by': [', Sam Wood', 'Armand Deutsch', '', ''], 'Starring': ['Robert Taylor', 'John Hodiak', 'Arlene Dahl', '', ''], 'Cinematography': ['Harold Lipstein', '', ''], 'Edited by': ['Ben Lewis', '', ''], 'Music by': ['Rudolph G. Kopp', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['Metro-Goldwyn-Mayer', ''], 'Distributed by': ['Metro-Goldwyn-Mayer', '', ''], 'Release date': ['January\xa013,\xa01950', '\n \n', ''], 'Running time': ['89 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,754,000', '', ''], 'Box office': ['$3,215,000', '', '']}",3 Reviews,,Fewer than 50 Ratings,62,,1949, Western, 1h 29m
Annie Get Your Gun,1950,"{'Directed by': [' ', ' ', 'George Sidney', 'Busby Berkeley', 'Charles Walters', '', ''], 'Screenplay by': ['Sidney Sheldon', '', ''], 'Based on': ['1946 book', 'by ', 'Dorothy Fields', 'Herbert Fields', '', ''], 'Produced by': ['Arthur Freed', 'Roger Edens', '', ''], 'Starring': ['Betty Hutton', 'Howard Keel', 'Louis Calhern', 'Keenan Wynn', 'Benay Venuta', 'J. Carrol Naish', '', ''], 'Cinematography': ['Charles Rosher', '', ''], 'Edited by': ['James E. Newcom', '', ''], 'Music by': ['Songs: (lyrics and music by) ', ' Music Direction: ', ' ', ' Additional music:', 'Irving Berlin', 'Adolph Deutsch', 'Roger Edens', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': [""Loew's, Inc."", '', ''], 'Release date': ['July\xa017,\xa01950', '\n \n', ''], 'Running time': ['107 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$3,734,000', '', ''], 'Box office': ['$7,756,000', '', '']}",12 Reviews,100,"5,000+ Ratings",67,,1950, Musical, 1h 47m
The Asphalt Jungle,1950,"{'Directed by': ['John Huston', '', ''], 'Screenplay by': ['John Huston', 'Ben Maddow', '', ''], 'Based on': ['1949 novel', 'by ', 'W. R. Burnett', '', ''], 'Produced by': ['Arthur Hornblow Jr.', '', ''], 'Starring': ['Sterling Hayden', 'Louis Calhern', 'Jean Hagen', '', ''], 'Cinematography': ['Harold Rosson', '', ''], 'Edited by': ['George Boemler', '', ''], 'Music by': ['Miklós Rózsa', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': [""Loew's Inc."", '', ''], 'Release date': ['May\xa012,\xa01950', ' (United States)', '\n \n', ''], 'Running time': ['112 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,232,000', '', '']}",35 Reviews,97,"5,000+ Ratings",87,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1950, Crime/Drama, 1h 52m
Babul,1950,"{'Directed by': ['S. U. Sunny', '', ''], 'Written by': ['Azmi Bazidpuri', '', ''], 'Produced by': ['Naushad', '', ''], 'Starring': ['Dilip Kumar', 'Nargis', 'Munawar Sultana', '', ''], 'Cinematography': ['Fali Mistry', '', ''], 'Edited by': ['Moosa Mansoor', '', ''], 'Music by': ['Naushad', '', ''], 'Release date': ['15\xa0December\xa01950', '', ''], 'Running time': ['142 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Hindi', '', ''], 'Released': ['1950', '', ''], '': ['Feature film soundtrack', '', '']}",0 Reviews,,0 Ratings,,,1950, Drama, 2h 22m
The Astonished Heart,1950,"{'Directed by': ['Terence Fisher', 'Antony Darnborough', '', ''], 'Written by': ['Noël Coward', '', ''], 'Produced by': ['Antony Darnborough', '', ''], 'Starring': ['Noël Coward', 'Celia Johnson', 'Margaret Leighton', '', ''], 'Cinematography': ['Jack Asher', '', ''], 'Edited by': ['Vladimir Sagovsky', '', ''], 'Music by': ['Noël Coward', ' (uncredited)', 'William Blezard', '', ''], 'Production company': [' (for) ', 'Sydney Box Productions Gainsborough Pictures'], 'Distributed by': [' (UK)', 'General Film Distributors', '', ''], 'Release date': ['March 1950 (UK)', '', ''], 'Running time': ['85 min.', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', ''], 'Box office': ['£93,000 (by 1953)', '21,168 admissions (France)', '', '']}",0 Reviews,,Fewer than 50 Ratings,,,1950, Drama, 1h 32m
Armored Car Robbery,1950,"{'Directed by': ['Richard Fleischer', '', ''], 'Screenplay by': ['Gerald Drayson Adams', 'Earl Felton', '', ''], 'Story by': ['Robert Leeds', 'Robert Angus', '', ''], 'Produced by': ['Herman Schlom', '', ''], 'Starring': ['Charles McGraw', 'Adele Jergens', 'William Talman', '', ''], 'Cinematography': ['Guy Roe', '', ''], 'Edited by': ['Desmond Marquette', '', ''], 'Music by': ['Roy Webb', 'Paul Sawtell', '', ''], 'Production company': ['', 'RKO Radio Pictures'], 'Distributed by': ['RKO Radio Pictures', '', ''], 'Release date': ['June\xa07,\xa01950', ' (', ')', '\n \n', ''], 'Running time': ['67 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}",1 Reviews,,250+ Ratings,65,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1950, Crime/Drama, 1h 8m
Backfire,1950,"{'Directed by': ['Vincent Sherman', '', ''], 'Screenplay by': ['Ivan Goff', 'Larry Marcus', 'Ben Roberts', '', ''], 'Story by': ['Larry Marcus', '', ''], 'Produced by': ['Anthony Veiller', '', ''], 'Starring': [""Edmond O'Brien"", 'Virginia Mayo', 'Gordon MacRae', 'Dane Clark', 'Viveca Lindfors', '', ''], 'Cinematography': ['Carl E. Guthrie', '', ''], 'Edited by': ['Thomas Reilly', '', ''], 'Music by': ['Daniele Amfitheatrof', '', ''], 'Production company': ['', 'Warner Bros.'], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['January\xa026,\xa01950', ' (New York City)', '\n \n', ''], 'Running time': ['91 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}",0 Reviews,,Fewer than 50 Ratings,0,,1994, Comedy, 1h 29m
The Baron of Arizona,1950,"{'Directed by': ['Samuel Fuller', '', ''], 'Screenplay by': ['Samuel Fuller', '', ''], 'Based on': ['1949 article in  by ', ''], 'Produced by': ['Carl Hittleman', 'Sam White', 'Robert L. Lippert', '', ''], 'Starring': ['Vincent Price', 'Ellen Drew', '', ''], 'Cinematography': ['James Wong Howe', '', ''], 'Edited by': ['Arthur Hilton', '', ''], 'Music by': ['Paul Dunlap', '', ''], 'Production company': ['Deputy Corporation', ''], 'Distributed by': ['Lippert Pictures', '', ''], 'Release date': ['March\xa04,\xa01950', '\n \n', ''], 'Running time': ['97 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$135,000', '', '']}",7 Reviews,86,500+ Ratings,69,,1950, Western, 1h 36m
