title,year,infobox
47 morto che parla,1950,"{'Directed by': ['Carlo Ludovico Bragaglia', '', ''], 'Written by': [', ', ', ', 'Ettore Petrolini', 'Agenore Incrocci', 'Furio Scarpelli', '', ''], 'Produced by': ['Isidoro Broggi', '', ''], 'Starring': [' and ', 'Totò', 'Silvana Pampanini', '', ''], 'Cinematography': ['Mario Albertelli', '', ''], 'Edited by': ['Giuliana Attenni', '', ''], 'Music by': ['Ezio Carabella', '', ''], 'Distributed by': ['F.C. Produzioni', '', ''], 'Release date': ['1950', '', ''], 'Running time': ['89 minutes', '', ''], 'Country': ['Italy', '', ''], 'Language': ['Italian', '', '']}"
711 Ocean Drive,1950,"{'Directed by': ['Joseph M. Newman', '', ''], 'Written by': ['Richard English', 'Francis Swann', '', ''], 'Produced by': ['Frank N. Seltzer', '', ''], 'Starring': [""Edmond O'Brien"", 'Joanne Dru', 'Otto Kruger', '', ''], 'Cinematography': ['Franz Planer', '', ''], 'Edited by': ['Bert Jordan', '', ''], 'Music by': ['Sol Kaplan', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['Frank Seltzer Productions', ''], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['July\xa01,\xa01950', ' (United States)', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$300,000', '', ''], 'Box office': ['$1,550,000', '', '']}"
Abbott and Costello in the Foreign Legion,1950,"{'Directed by': ['Charles Lamont', '', ''], 'Written by': ['John Grant', 'Martin Ragaway', 'Leonard Stern', '', ''], 'Produced by': ['Robert Arthur', '', ''], 'Starring': ['Bud Abbott', 'Lou Costello', 'Patricia Medina', 'Walter Slezak', '', ''], 'Narrated by': ['Jeff Chandler', '', ''], 'Cinematography': ['George Robinson', '', ''], 'Edited by': ['Frank Gross', '', ''], 'Production company': ['', 'Universal-International'], 'Distributed by': ['Universal-International', '', ''], 'Release date': ['July\xa024,\xa01950', '\n \n', ''], 'Running time': ['80 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$679,687', '', ''], 'Box office': ['$1,250,000', '', '']}"
The Admiral Was a Lady,1950,"{'Directed by': ['Albert S. Rogell', '', ''], 'Written by': [""John O'Dea"", 'Sidney Salkow', '', ''], 'Produced by': [' (associate producer)', ' (producer)', 'Edward Lewis', 'Albert S. Rogell', 'Jack M. Warner', '', ''], 'Starring': [""Edmond O'Brien"", 'Wanda Hendrix', '', ''], 'Cinematography': ['Stanley Cortez', '', ''], 'Edited by': ['William H. Ziegler', '', ''], 'Music by': ['Edward J. Kay', '', ''], 'Production company': ['Roxbury Productions', ''], 'Distributed by': ['United Artists', '', ''], 'Release dates': ['August\xa04,\xa01950', ' (United States)', 'October\xa012,\xa01950', ' (New York City, New York)', '\n \n', ''], 'Running time': ['87 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
All About Eve,1950,"{'Directed by': ['Joseph L. Mankiewicz', '', ''], 'Screenplay by': ['Joseph L. Mankiewicz', '', ''], 'Based on': ['by ', 'Mary Orr', '', ''], 'Produced by': ['Darryl F. Zanuck', '', ''], 'Starring': ['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm', 'Marilyn Monroe', '\n \n', ''], 'Cinematography': ['Milton R. Krasner', '', ''], 'Edited by': ['Barbara McLean', '', ''], 'Music by': ['Alfred Newman', '', ''], 'Production company': ['', '20th Century Fox'], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['October\xa013,\xa01950', ' (New York City)', '\n \n', ''], 'Running time': ['138 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1.4\xa0million', '', ''], 'Box office': ['$8.4\xa0million', '', '']}"
Ambush,1950,"{'Directed by': ['Sam Wood', '', ''], 'Screenplay by': ['Marguerite Roberts', '', ''], 'Based on': ['1948 story in ', 'by ', 'Luke Short', '', ''], 'Produced by': [', Sam Wood', 'Armand Deutsch', '', ''], 'Starring': ['Robert Taylor', 'John Hodiak', 'Arlene Dahl', '', ''], 'Cinematography': ['Harold Lipstein', '', ''], 'Edited by': ['Ben Lewis', '', ''], 'Music by': ['Rudolph G. Kopp', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['Metro-Goldwyn-Mayer', ''], 'Distributed by': ['Metro-Goldwyn-Mayer', '', ''], 'Release date': ['January\xa013,\xa01950', '\n \n', ''], 'Running time': ['89 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,754,000', '', ''], 'Box office': ['$3,215,000', '', '']}"
Annie Get Your Gun,1950,"{'Directed by': [' ', ' ', 'George Sidney', 'Busby Berkeley', 'Charles Walters', '', ''], 'Screenplay by': ['Sidney Sheldon', '', ''], 'Based on': ['1946 book', 'by ', 'Dorothy Fields', 'Herbert Fields', '', ''], 'Produced by': ['Arthur Freed', 'Roger Edens', '', ''], 'Starring': ['Betty Hutton', 'Howard Keel', 'Louis Calhern', 'Keenan Wynn', 'Benay Venuta', 'J. Carrol Naish', '', ''], 'Cinematography': ['Charles Rosher', '', ''], 'Edited by': ['James E. Newcom', '', ''], 'Music by': ['Songs: (lyrics and music by) ', ' Music Direction: ', ' ', ' Additional music:', 'Irving Berlin', 'Adolph Deutsch', 'Roger Edens', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': [""Loew's, Inc."", '', ''], 'Release date': ['July\xa017,\xa01950', '\n \n', ''], 'Running time': ['107 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$3,734,000', '', ''], 'Box office': ['$7,756,000', '', '']}"
Armored Car Robbery,1950,"{'Directed by': ['Richard Fleischer', '', ''], 'Screenplay by': ['Gerald Drayson Adams', 'Earl Felton', '', ''], 'Story by': ['Robert Leeds', 'Robert Angus', '', ''], 'Produced by': ['Herman Schlom', '', ''], 'Starring': ['Charles McGraw', 'Adele Jergens', 'William Talman', '', ''], 'Cinematography': ['Guy Roe', '', ''], 'Edited by': ['Desmond Marquette', '', ''], 'Music by': ['Roy Webb', 'Paul Sawtell', '', ''], 'Production company': ['', 'RKO Radio Pictures'], 'Distributed by': ['RKO Radio Pictures', '', ''], 'Release date': ['June\xa07,\xa01950', ' (', ')', '\n \n', ''], 'Running time': ['67 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
The Asphalt Jungle,1950,"{'Directed by': ['John Huston', '', ''], 'Screenplay by': ['John Huston', 'Ben Maddow', '', ''], 'Based on': ['1949 novel', 'by ', 'W. R. Burnett', '', ''], 'Produced by': ['Arthur Hornblow Jr.', '', ''], 'Starring': ['Sterling Hayden', 'Louis Calhern', 'Jean Hagen', '', ''], 'Cinematography': ['Harold Rosson', '', ''], 'Edited by': ['George Boemler', '', ''], 'Music by': ['Miklós Rózsa', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': [""Loew's Inc."", '', ''], 'Release date': ['May\xa012,\xa01950', ' (United States)', '\n \n', ''], 'Running time': ['112 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,232,000', '', '']}"
The Astonished Heart,1950,"{'Directed by': ['Terence Fisher', 'Antony Darnborough', '', ''], 'Written by': ['Noël Coward', '', ''], 'Produced by': ['Antony Darnborough', '', ''], 'Starring': ['Noël Coward', 'Celia Johnson', 'Margaret Leighton', '', ''], 'Cinematography': ['Jack Asher', '', ''], 'Edited by': ['Vladimir Sagovsky', '', ''], 'Music by': ['Noël Coward', ' (uncredited)', 'William Blezard', '', ''], 'Production company': [' (for) ', 'Sydney Box Productions Gainsborough Pictures'], 'Distributed by': [' (UK)', 'General Film Distributors', '', ''], 'Release date': ['March 1950 (UK)', '', ''], 'Running time': ['85 min.', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', ''], 'Box office': ['£93,000 (by 1953)', '21,168 admissions (France)', '', '']}"
